OCID,CONTRACT_TITLE,PROCUREMENT_METHOD,BUYER_NAME,SUPPLIER_NAMES,CONTRACT_START_DATE,CONTRACT_END_DATE,CONTRACT_AMOUNT,CONTRACT_CURRENCY
29,220979 ATEXCACO,MINERÍA METÁLICA,SECRETARÍA DE ECONOMÍA,"COMPAÑIA MINERA AUTLAN, S. A. DE C. V.",11/11/2003,10/11/2053,801.2501,Hectáreas
31,219298 ATEXCACO 1,MINERÍA METÁLICA,SECRETARÍA DE ECONOMÍA,"COMPAÑIA MINERA AUTLAN, S. A. DE C. V.",25/02/2003,24/02/2053,5380.5404,Hectáreas
34,211777 GUADALUPE,MINERÍA METÁLICA,SECRETARÍA DE ECONOMÍA,"GRUPO FERROMINERO, S.A. DE C.V.",28/07/2000,27/07/2050,444,Hectáreas
35,207578 TEZIUTLAN 2000,MINERÍA METÁLICA,SECRETARÍA DE ECONOMÍA,"MINAS DE SANTA MARTHA, S.A.",30/06/1998,29/06/2048,36,Hectáreas
36,185659 TEZIUTLAN SEIS,MINERÍA METÁLICA,SECRETARÍA DE ECONOMÍA,"COMPAÑIA MINERA AUTLAN, S. A. DE C. V.",14/12/1989,13/12/2039,85.674,Hectáreas
44,185658 TEZIUTLAN UNO,MINERÍA METÁLICA,SECRETARÍA DE ECONOMÍA,"COMPAÑIA MINERA AUTLAN, S. A. DE C. V.",14/12/1989,13/12/2039,128.9989,Hectáreas
45,205537 EL RINCON I,MINERÍA METÁLICA,SECRETARÍA DE ECONOMÍA,"MINAS DE SANTA MARTHA, S.A.",19/09/1997,19/09/2047,250,Hectáreas
49,210459 ACATENO,MINERÍA METÁLICA,SECRETARÍA DE ECONOMÍA,"COMPAÑIA RECUPERADORA DE ESCORIAS, S.A. DE C.V.",08/10/1999,07/10/2049,5228.0206,Hectáreas
52,220236 AMPLIACION ATEXCACO,MINERÍA METÁLICA,SECRETARÍA DE ECONOMÍA,"GRUPO FERROMINERO, S.A. DE C.V.",25/06/2003,24/06/2053,98.7612,Hectáreas
104,CENTRAL HIDROELÉCTRICA ATEXCACO ,ENERGÍA HIDROELÉCTRICA,SECRETARÍA DE MEDIO AMBIENTE Y RECURSOS NATURALES,"COMPAÑIA MINERA AUTLAN, S. A. DE C. V.",16/01/2007,16/01/2037,78.3609,Hectáreas
105,AMPLIACIÓN DEL CENTRAL HIDROELÉCTRICA ATEXCACO ,ENERGÍA HIDROELÉCTRICA,SECRETARÍA DE MEDIO AMBIENTE Y RECURSOS NATURALES,"COMPAÑIA MINERA AUTLAN, S. A. DE C. V.",08/05/2008,08/05/2009,6.715,Hectáreas
106,PROYECTO HIDROELÉCTRICA PUEBLA 1,ENERGÍA HIDROELÉCTRICA,SECRETARÍA DE MEDIO AMBIENTE Y RECURSOS NATURALES,"DESELEC 1, S. DE R. L. DE C. V.",09/12/2011,09/12/2041,17.5109,Hectáreas
107,PROYECTO HIDROELÉCTRICA PUEBLA 1 (PRESA ZOQUIAPA) ,ENERGÍA HIDROELÉCTRICA,SECRETARÍA DE MEDIO AMBIENTE Y RECURSOS NATURALES,"DESELEC 1, S. DE R. L. DE C. V.",03/07/2018,03/07/2048,3.8334,Hectáreas
108,PROYECTO FOTOVOLTAICO PACHAMAMA II,ENERGÍA FOTOVOLTAICA,SECRETARÍA DE MEDIO AMBIENTE Y RECURSOS NATURALES,"ENR N.L., S. A. DE C. V.",05/03/2018,05/03/2043,1146,Hectáreas
109,CENTRAL FOTOVOLTAICA CUYOACO-200 MW,ENERGÍA FOTOVOLTAICA,SECRETARÍA DE MEDIO AMBIENTE Y RECURSOS NATURALES,"IBERDROLA RENOVABLES NORTE, S. A. DE C. V.",22/02/2017,22/02/2042,755,Hectáreas
110,"EL DISEÑO, CONSTRUCCIÓN, EQUIPAMIENTO, INSTALACIÓN, OPERACIÓN Y MANTENIMIENTO DEL GASODUCTO TUXPAN-TULA",HIDROCARBUROS,COMISIÓN REGULADORA DE ENERGÍA,"TRANSPORTADORA DE GAS NATURAL DE LA HUASTECA, S. DE R. L. DE C. V.",16/02/2017,16/02/2047,1,Hectáreas
111,SISTEMA HIDROELÉCTRICO DE NECAXA,ENERGÍA HIDROELÉCTRICA,SERVICIO DE ADMINISTRACIÓN Y ENAJENACIÓN DE BIENES,"GENERADORA FÉNIX, S. A. P. I. DE C. V.",07/10/2015,07/10/2045,140000,Hectáreas
