NOMBRE,TIPO_ENTIDAD,RELACIONADO_CON,TIPO_RELACION,PUESTO
Carlos González Garrido,persona,"FELDMEX, S. A. DE C. V.",boardmember,
Fideicomiso de la Familia Rivero González,empresa,"AUTLÁN HOLDING, S. A. P. I. DE C. V.",shareholder,
José Antonio Rivero Larrea,persona,"AUTLÁN HOLDING, S. A. P. I. DE C. V.",boardmember,presidente
Pedro Rivero González,persona,"AUTLÁN HOLDING, S. A. P. I. DE C. V.",boardmember,presidente
María Guadalupe González,persona,"AUTLÁN HOLDING, S. A. P. I. DE C. V.",boardmember,
José Antonio Rivero González Jr.,persona,"AUTLÁN HOLDING, S. A. P. I. DE C. V.",boardmember,
María Rivero González,persona,"AUTLÁN HOLDING, S. A. P. I. DE C. V.",boardmember,
Antonio Elosúa González,persona,"AUTLÁN HOLDING, S. A. P. I. DE C. V.",boardmember,
Dionisio Garza Medina Sarda,persona,"AUTLÁN HOLDING, S. A. P. I. DE C. V.",boardmember,
Everardo Elizondo,persona,"AUTLÁN HOLDING, S. A. P. I. DE C. V.",boardmember,
Fernando de Jesús Canales Clariond,persona,"AUTLÁN HOLDING, S. A. P. I. DE C. V.",boardmember,
Francisco Javier Garza Zambrano,persona,"AUTLÁN HOLDING, S. A. P. I. DE C. V.",boardmember,
Oscar Maldonado Charles,persona,"AUTLÁN HOLDING, S. A. P. I. DE C. V.",boardmember,
Pedro Alberto Reynoso Jr.,persona,"AUTLÁN HOLDING, S. A. P. I. DE C. V.",boardmember,
Ricardo Sada Villarreal,persona,"AUTLÁN HOLDING, S. A. P. I. DE C. V.",boardmember,
Carlos Jinich Ripstein,persona,"GRUPO COMEXHIDRO, S. DE R. L. de C. V.",boardmember,presidente
Jacobo Mekler Waisburd,persona,"GRUPO COMEXHIDRO, S. DE R. L. de C. V.",boardmember,
Solomón Camhaji Samra,persona,"GRUPO COMEXHIDRO, S. DE R. L. de C. V.",boardmember,
Jaques Veyrat,persona,"IMPALA, S. A. S.",boardmember,presidente
Fabrice Dumonteil,persona,"IMPALA, S. A. S.",boardmember,
Stéphanie Levan,persona,"IMPALA, S. A. S.",boardmember,
Vincent Revoles,persona,"IMPALA, S. A. S.",boardmember,
Aurélien Tignoles,persona,"IMPALA, S. A. S.",boardmember,
Simon Veyrat,persona,"IMPALA, S. A. S.",boardmember,
Xavier Barbaro,persona,"IMPALA, S. A. S.",boardmember,
Erick Lauro ,persona,"IMPALA, S. A. S.",boardmember,
La familia Veyrat,empresa,"IMPALA, S. A. S.",shareholder,
José Ignacio Sánchez Galán ,persona,"IBERDROLA, S. A.",shareholder,presidente
Anthony Luzzato Gardner,persona,"IBERDROLA, S. A.",boardmember,vicepresidente
Juan Manuel González Serna,persona,"IBERDROLA, S. A.",boardmember,
Angel Jesus Acebes Paniagua,persona,"IBERDROLA, S. A.",boardmember,
Maria Angeles Alcalá Díaz,persona,"IBERDROLA, S. A.",boardmember,
Maria Helena Antolin Raybaud,persona,"IBERDROLA, S. A.",boardmember,
Nicola Mary Brewer,persona,"IBERDROLA, S. A.",boardmember,
Sara De La Rica Goiricelaya,persona,"IBERDROLA, S. A.",boardmember,
Iñigo Víctor de Oriol Ibarra,persona,"IBERDROLA, S. A.",boardmember,
Regina Helena Jorge Nunes,persona,"IBERDROLA, S. A.",boardmember,
Armando Martínez Martínez,persona,"IBERDROLA, S. A.",boardmember,
Manuel Moreu Munaiz,persona,"IBERDROLA, S. A.",boardmember,
Xabier Sagredo Ormaza,persona,"IBERDROLA, S. A.",boardmember,
Isabel García Tejerina,persona,"IBERDROLA, S. A.",boardmember,
"QATAR HOLDING, LLC",empresa,"IBERDROLA, S. A.",shareholder,
NORGES BANK INVESTMENT MANAGEMENT,empresa,"IBERDROLA, S. A.",shareholder,
"BLACK ROCK, INC.",empresa,"IBERDROLA, S. A.",shareholder,
Siim Alden Vanaselja,persona,TC ENERGY CORPORATION ,boardmember,presidente
Cheryl F. Campbell,persona,TC ENERGY CORPORATION ,boardmember,
Michael Robert Culbert,persona,TC ENERGY CORPORATION ,boardmember,vicepresidente
William Dean Johnson,persona,TC ENERGY CORPORATION ,boardmember,
Susan C. Jones,persona,TC ENERGY CORPORATION ,boardmember,
John E. Lowe,persona,TC ENERGY CORPORATION ,boardmember,
David B. MacNaughton,persona,TC ENERGY CORPORATION ,boardmember,
Francois Lionel Poirier,persona,TC ENERGY CORPORATION ,boardmember,
Una M. Power ,persona,TC ENERGY CORPORATION ,boardmember,
Mary Pat Salomone,persona,TC ENERGY CORPORATION ,boardmember,
Indira Vasanti Samarasekera,persona,TC ENERGY CORPORATION ,boardmember,
Thierry Vandal,persona,TC ENERGY CORPORATION ,boardmember,
Dheeraj Verma,persona,TC ENERGY CORPORATION ,boardmember,
CAPITAL RESEARCH & MGMT CORPORATION,empresa,TC ENERGY CORPORATION ,shareholder,
BMO ASSET MANAGEMENT CORPORATION,empresa,TC ENERGY CORPORATION ,shareholder,
"RBC DOMINION SECURITIES, INC.",empresa,TC ENERGY CORPORATION ,shareholder,
"VANGUARD GROUP, INC.",empresa,TC ENERGY CORPORATION ,shareholder,
ROYAL BANK OF CANADA,empresa,TC ENERGY CORPORATION ,shareholder,
THE BANK OF NOVA SCOTIA/SCOTIABANK,empresa,TC ENERGY CORPORATION ,shareholder,
CANADA PENSION PLAN INVESTMENT BOARD,empresa,TC ENERGY CORPORATION ,shareholder,
"RBC GLOBAL ASSET MANAGEMENT, INC.",empresa,TC ENERGY CORPORATION ,shareholder,
"NATIONAL BANK INVESTMENTS, INC.",empresa,TC ENERGY CORPORATION ,shareholder,
THE TORONTO-DOMINION BANK,empresa,TC ENERGY CORPORATION ,shareholder,
"WELLINGTON MANAGEMENT GROUP, LLP",empresa,TC ENERGY CORPORATION ,shareholder,
"MERRILL LYNCH PIERCE FENNER & SMITH, INC.",empresa,TC ENERGY CORPORATION ,shareholder,
CANADIAN IMPERIAL BANK OF COMMERCE,empresa,TC ENERGY CORPORATION ,shareholder,
MACKENZIE FINANCIAL CORPORATION,empresa,TC ENERGY CORPORATION ,shareholder,
"T. ROWE PRICE GROUP, INC.",empresa,TC ENERGY CORPORATION ,shareholder,
